,week,number_training,precision,recall,fscore,confusion_matrix,pos_ratio,false_pos_rate
0,Week 2,162,0.9562746645619574,0.9613259668508287,0.9576257423535594,"[[170   2]
 [  5   4]]",0.5,0.5555555555555556
1,Week 3,347,0.9532667188419515,0.9521276595744681,0.9526400173496814,"[[163   5]
 [  4  16]]",0.3125,0.2
2,Week 4,532,0.9506666666666667,0.9333333333333333,0.9397504456327985,"[[172  10]
 [  3  10]]",1.0,0.23076923076923078
3,Week 5,703,0.9237435940994932,0.9326424870466321,0.9245676464346633,"[[173   3]
 [ 10   7]]",0.42857142857142855,0.5882352941176471
4,Week 6,874,0.9762581281885978,0.9740932642487047,0.9750549496343992,"[[184   3]
 [  2   4]]",0.75,0.3333333333333333
5,Week 7,1063,0.9787584172633949,0.9792746113989638,0.9786854893006645,"[[175   1]
 [  3  14]]",0.07142857142857142,0.17647058823529413
6,Week 8,1237,0.9919401266551526,0.9896373056994818,0.9902569668113711,"[[184   2]
 [  0   7]]",0.2857142857142857,0.0
7,Week 9,1412,0.9897435897435898,0.9897435897435898,0.9897435897435898,"[[181   1]
 [  1  12]]",0.08333333333333333,0.07692307692307693
8,Week 11,1755,0.9718406593406593,0.9725274725274725,0.9720948120330518,"[[165   2]
 [  3  12]]",0.16666666666666666,0.2
9,Week 12,1928,0.9901063829787234,0.99,0.9896421225832991,"[[186   0]
 [  2  12]]",0.0,0.14285714285714285
10,Week 13,2144,0.9843082890763303,0.9845360824742269,0.9843491389883142,"[[174   1]
 [  2  17]]",0.058823529411764705,0.10526315789473684
11,Week 14,2351,0.9546887079529566,0.9533678756476683,0.9539676213251344,"[[171   5]
 [  4  13]]",0.38461538461538464,0.23529411764705882
12,Week 15,2483,0.9947930077532686,0.9947643979057592,0.9946175816665331,"[[182   0]
 [  1   8]]",0.0,0.1111111111111111
13,Week 16,2676,0.9781420765027322,0.9781420765027322,0.9781420765027322,"[[167   2]
 [  2  12]]",0.16666666666666666,0.14285714285714285
14,Week 17,2862,0.9954188481675392,0.9947643979057592,0.9949317850026869,"[[183   1]
 [  0   7]]",0.14285714285714285,0.0
15,Week 18,3056,0.9792746113989638,0.9792746113989638,0.9792746113989638,"[[180   2]
 [  2   9]]",0.2222222222222222,0.18181818181818182
16,Week 19,3163,0.9946535244922342,0.9946236559139785,0.994424361393541,"[[179   0]
 [  1   6]]",0.0,0.14285714285714285
17,Week 20,3350,0.9760937200572646,0.9753694581280788,0.9756689285705266,"[[182   3]
 [  2  16]]",0.1875,0.1111111111111111
18,Week 21,3594,0.9856096284667712,0.9841269841269841,0.9847157408801243,"[[181   2]
 [  1   5]]",0.4,0.16666666666666666
19,Week 22,3680,0.9358482891860287,0.9384615384615385,0.9369259742141097,"[[171   5]
 [  7  12]]",0.4166666666666667,0.3684210526315789
20,Week 23,3945,0.9843802769334684,0.9841269841269841,0.97942891186859,"[[185   0]
 [  3   1]]",0.0,0.75
21,Week 24,4124,0.9696969696969697,0.9696969696969697,0.9696969696969697,"[[180   3]
 [  3  12]]",0.25,0.2
22,Week 26,4490,0.9679342667299479,0.9591836734693877,0.9617492711370262,"[[171   7]
 [  1  17]]",0.4117647058823529,0.05555555555555555
23,Week 27,4696,0.9893048128342246,0.9893048128342246,0.9893048128342246,"[[177   1]
 [  1   8]]",0.125,0.1111111111111111
24,Week 28,4823,0.970907282195994,0.9613259668508287,0.9643695896315443,"[[163   6]
 [  1  11]]",0.5454545454545454,0.08333333333333333
25,Week 29,5009,0.9910714285714286,0.9897959183673469,0.9901078663509603,"[[180   2]
 [  0  14]]",0.14285714285714285,0.0
26,Week 30,5185,0.967032967032967,0.967032967032967,0.967032967032967,"[[167   3]
 [  3   9]]",0.3333333333333333,0.25
27,Week 31,5343,0.9784521034521035,0.9747474747474747,0.9759504278906702,"[[181   4]
 [  1  12]]",0.3333333333333333,0.07692307692307693
28,Week 32,5596,0.995264404104183,0.994475138121547,0.9946797175342824,"[[174   1]
 [  0   6]]",0.16666666666666666,0.0
29,Week 33,5741,0.9855446524284653,0.9850746268656716,0.9852454194380925,"[[180   2]
 [  1  18]]",0.1111111111111111,0.05263157894736842
30,Week 34,5950,0.9891891891891892,0.9891891891891892,0.9891891891891892,"[[181   1]
 [  1   2]]",0.5,0.3333333333333333
31,Week 35,6094,0.9571529566227339,0.9560975609756097,0.9565734681737059,"[[180   5]
 [  4  16]]",0.3125,0.2
32,Week 36,6275,0.9912959381044488,0.9893617021276596,0.9898637341620847,"[[177   2]
 [  0   9]]",0.2222222222222222,0.0
33,Week 37,6402,0.9834791059280855,0.9795918367346939,0.9805506502333315,"[[175   4]
 [  0  17]]",0.23529411764705882,0.0
34,Week 38,6617,0.9954427083333334,0.9947916666666666,0.9949582204155375,"[[184   1]
 [  0   7]]",0.14285714285714285,0.0
35,Week 39,6784,0.9847491926599431,0.983957219251337,0.9842550909397361,"[[173   2]
 [  1  11]]",0.18181818181818182,0.08333333333333333
36,Week 40,6906,0.9956043956043956,0.9948717948717949,0.9950622321975108,"[[188   1]
 [  0   6]]",0.16666666666666666,0.0
37,Week 41,7182,0.9846902502461835,0.983957219251337,0.9842311913849461,"[[172   2]
 [  1  12]]",0.16666666666666666,0.07692307692307693
38,Week 42,7300,0.9818843474015889,0.9802955665024631,0.9808221397569039,"[[184   3]
 [  1  15]]",0.2,0.0625
39,Week 43,7506,0.9910873440285205,0.9893048128342246,0.989760573650948,"[[175   2]
 [  0  10]]",0.2,0.0
40,Week 44,7742,0.9878640776699029,0.9854368932038835,0.9860412149778649,"[[188   3]
 [  0  15]]",0.2,0.0
41,Week 45,7861,0.9946251336081845,0.9945945945945946,0.994443268464265,"[[176   0]
 [  1   8]]",0.0,0.1111111111111111
42,Week 46,8048,0.9908088235294118,0.9895833333333334,0.9898792613636364,"[[175   2]
 [  0  15]]",0.13333333333333333,0.0
43,Week 47,8227,0.9956597222222222,0.9947916666666666,0.9950214274108374,"[[186   1]
 [  0   5]]",0.2,0.0
44,Week 48,8354,0.9854147585704297,0.9848484848484849,0.9850571834042908,"[[180   2]
 [  1  15]]",0.13333333333333333,0.0625
45,Week 49,8592,0.9893617021276596,0.9893617021276596,0.9893617021276596,"[[178   1]
 [  1   8]]",0.125,0.1111111111111111
46,Week 50,8721,0.9870129870129869,0.9848484848484849,0.9853675736028676,"[[177   3]
 [  0  18]]",0.16666666666666666,0.0
47,Week 51,8977,0.9951951951951952,0.9945945945945946,0.9947459207249242,"[[176   1]
 [  0   8]]",0.125,0.0
